listing_id,zipcode,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,minimum_nights,host_listings_count,instant_bookable,cancellation_policy,is_business_travel_ready,price_per_person,host_is_superhost
45246570,,35.4803,-82.51179,Entire residential home,Entire home/apt,,3,6,2,198,t,,,22.33333333,f
45249479,,35.59295,-82.58776,Entire guesthouse,Entire home/apt,,1,1,1,0,t,,,39.5,f
45254379,,35.61794,-82.57954,Entire residential home,Entire home/apt,,3,6,2,0,f,,,31.28571429,t
45260357,,35.44755,-82.55646,Entire guest suite,Entire home/apt,,4,5,2,0,t,,,49.875,t
45266904,,35.5505,-82.47985,Entire residential home,Entire home/apt,,4,6,3,0,f,,,34.75,t
45269916,,35.59501,-82.50872,Entire residential home,Entire home/apt,,2,2,2,0,t,,,34.75,f
45285765,,35.5939,-82.64602,Treehouse,Entire home/apt,,,2,3,3,t,,,42,t
45286326,,35.5598,-82.66409,Entire rental unit,Entire home/apt,,1,2,2,0,t,,,46.66666667,t
45303750,,35.45951,-82.58469,Entire rental unit,Entire home/apt,,2,2,30,1,f,,,29,f
45313441,,35.47687,-82.58809,Entire residential home,Entire home/apt,,2,2,2,6,f,,,72.5,t
45327951,,35.59348,-82.53712,Entire residential home,Entire home/apt,,2,2,5,3,f,,,38.5,t
45351656,,35.44653,-82.50136,Entire residential home,Entire home/apt,,1,1,1,1,t,,,33.33333333,t
45368367,,35.63239,-82.62833,Tiny house,Entire home/apt,,1,1,1,39,t,,,21.5,f
45383149,,35.58177,-82.57839,Private room in residential home,Private room,,2,3,2,0,f,,,32.875,f
45383681,,35.59343,-82.49742,Entire rental unit,Entire home/apt,,2,3,2,0,f,,,22.5,t
45393629,,35.57495,-82.60798,Entire residential home,Entire home/apt,,4,6,30,2,t,,,10.45454545,t
45394500,,35.54706,-82.66487,Entire cottage,Entire home/apt,,2,2,1,4,t,,,48,t
45402516,,35.61877,-82.64964,Entire residential home,Entire home/apt,,4,4,3,1,t,,,36.25,t
45409618,,35.62025,-82.57367,Entire residential home,Entire home/apt,,2,2,1,1,f,,,62.5,f
45412182,,35.57713,-82.64048,Tiny house,Entire home/apt,,,2,1,39,t,,,21.66666667,f
45421363,,35.59546,-82.55421,Entire loft,Entire home/apt,,2,2,3,0,f,,,65,t
45431719,,35.60956,-82.46709,Entire guest suite,Entire home/apt,,1,2,2,0,t,,,38.75,t
